Wavelength,Cm, Ch, Bm,Eumelanin,Pheomelanin,Baseline,Epidermis,ScatteringEpi,ScatteringDerm,Dermis,Reflectance
710,0.5,0.07,0.01,21.127768729112393,8.296995250458005,0.02528658021086004,4.237495557679445,0.9962565757559048,0.4981282878779524,0.027108656371726995,0.05427183569138749
720,0.5,0.07,0.01,20.16632316290422,7.7636981147969815,0.025135219843817527,3.9685575361355774,0.9487515140674609,0.47437575703373047,0.026888802811832525,0.06141330464759821
730,0.5,0.07,0.01,19.26099911739236,7.271339331415421,0.025009700297978346,3.720189995180359,0.9044136544100768,0.4522068272050384,0.02684563148939839,0.06524995801772843
740,0.5,0.07,0.01,18.407817875825288,6.816278541125897,0.024905609929439205,3.4905667289921194,0.8629917111102459,0.43149585555512293,0.026576355206406492,0.06637604119158708
750,0.5,0.07,0.01,17.603131304134504,6.3952422015201575,0.024819290267029847,3.2780454989605072,0.8242573739040902,0.4121286869520451,0.02622073579638364,0.07476122565479645
760,0.5,0.07,0.01,16.84359045742784,6.005282393538233,0.02474770742778124,3.0811473596363594,0.7880029376344289,0.39400146881721443,0.025691075753548558,0.07667881232557675
770,0.5,0.07,0.01,16.126117531023013,5.6437407171630865,0.024688345484837216,2.8985385420896956,0.754039203562606,0.377019601781303,0.025512211291062906,0.08152256717894124
780,0.5,0.07,0.01,15.447880761984283,5.308216591742097,0.024639118040004362,2.7290145501965637,0.722193618147089,0.3610968090735445,0.025351506584404288,0.08662361504589847
380,0.5,0.16,0.01,169.3809478396403,161.5942539940015,0.45161339628080815,81.26960932665851,10.70062444996002,5.35031222498001,26.163896840460144,0.007531086148953117
390,0.5,0.16,0.01,155.3455418066616,142.83712970835902,0.3786778900801753,71.84463768914799,9.65854442259583,4.829272211297915,27.45185430842678,0.008381048508517334
400,0.5,0.16,0.01,142.7855189861344,126.65228778807402,0.31819421266359565,63.712276494184366,8.741823504652602,4.370911752326301,28.81020530218199,0.008763673178970364
410,0.5,0.16,0.01,131.51451650226562,112.63534107303022,0.2680365401608564,56.669381492215706,7.932784648554808,3.966392324277404,39.34542411099763,0.008700883958545817
420,0.5,0.16,0.01,121.37347842917981,100.45322139078023,0.22644197748959877,50.54859627897213,7.216592000386382,3.608296000193191,40.2489938017746,0.008792229414539393
430,0.5,0.16,0.01,112.22612779678802,89.83029665524481,0.19194859776352213,45.2113981371831,6.58074077024114,3.29037038512057,23.88559789153942,0.009235164062757288
440,0.5,0.16,0.01,103.9552728988143,80.53743328363643,0.16334405984997707,40.54261613735008,6.014647871172193,3.0073239355860966,24.703633441643834,0.009411532108646087
450,0.5,0.16,0.01,96.45977946632703,72.38332974786923,0.1396229981347961,36.44608520073631,5.509321687090168,2.754660843545084,8.345845330949318,0.00921745586535375
460,0.5,0.16,0.01,89.65207711978748,65.20761221387161,0.11995168686956585,32.84118205086016,5.057094333685522,2.528547166842761,4.734881506715271,0.009297828271031958
470,0.5,0.16,0.01,83.45609670419829,58.8753053694024,0.10363873715678258,29.660049829045686,4.651403544099015,2.3257017720495075,3.364009046273872,0.009046379530548484
480,0.5,0.16,0.01,77.80555681409068,53.272382524514505,0.09011079665786136,26.84536349849668,4.286614166727216,2.143307083363608,2.4885508910708167,0.009248344707266834
